Sales Doc,Order_Type,Line_Item_Count
7510659377,ZCDM,
7510659381,ZCDM,
7510659173,ZCDM,
7510659357,ZCDM,
7510659149,ZCDM,
7510659334,ZCDM,
7510659314,ZCDM,
7510659358,ZCDM,
7510659359,ZCDM,
7510659385,ZCDM,
7510659390,ZCDM,
7510659386,ZCDM,
7510659395,ZCDM,
7510659396,ZCDM,
7510659400,ZCDM,
7510659405,ZCDM,
7510659410,ZCDM,
7510659397,ZCDM,
7510659415,ZCDM,
7510659192,ZCDM,
7510659420,ZCDM,
7510659193,ZCDM,
7510659406,ZCDM,
7510659261,ZCDM,
7510659194,ZCDM,
7510659425,ZCDM,
7510659430,ZCDM,
7510659411,ZCDM,
7510659426,ZCDM,
7510659435,ZCDM,
7510659352,ZCDM,
7510659431,ZCDM,
7510659440,ZCDM,
7510659445,ZCDM,
7510659421,ZCDM,
7510659174,ZCDM,
7510659127,ZCDM,
7510659128,ZCDM,
7510659450,ZCDM,
7510659129,ZCDM,
7510659441,ZCDM,
7510659301,ZCDM,
7510659455,ZCDM,
7510659460,ZCDM,
7510659461,ZCDM,
7510659465,ZCDM,
7510659302,ZCDM,
7510659179,ZCDM,
7510659470,ZCDM,
7510659471,ZCDM,
7510659222,ZCDM,
7510659472,ZCDM,
7510659223,ZCDM,
7510659387,ZCDM,
7510659238,ZCDM,
7510659239,ZCDM,
7510659475,ZCDM,
7510659480,ZCDM,
7510659388,ZCDM,
7510659389,ZCDM,
7510659485,ZCDM,
7510659224,ZCDM,
7510659473,ZCDM,
7510659466,ZCDM,
7510659297,ZCDM,
7510659467,ZCDM,
7510659490,ZCDM,
7510659371,ZCDM,
7510659118,ZCDM,
7510659495,ZCDM,
7510659119,ZCDM,
7510659491,ZCDM,
7510659492,ZCDM,
7510659156,ZCDM,
7510659500,ZCDM,
7510659271,ZCDM,
7510659298,ZCDM,
7510659496,ZCDM,
7510659497,ZCDM,
7510659505,ZCDM,
7510659427,ZCDM,
7510659510,ZCDM,
7510659506,ZCDM,
7510659378,ZCDM,
7510659511,ZCDM,
7510659363,ZCDM,
7510659498,ZCDM,
7510659512,ZCDM,
7510659379,ZCDM,
7510659214,ZCDM,
7510659499,ZCDM,
7510659515,ZCDM,
7510659520,ZCDM,
7510659432,ZCDM,
7510659507,ZCDM,
7510659493,ZCDM,
7510659433,ZCDM,
7510659516,ZCDM,
7510659525,ZCDM,
7510659530,ZCDM,
7510659323,ZCDM,
7510659535,ZCDM,
7510659342,ZCDM,
7510659324,ZCDM,
7510659536,ZCDM,
7510659531,ZCDM,
7510659537,ZCDM,
7510659540,ZCDM,
7510659186,ZCDM,
7510659541,ZCDM,
7510659545,ZCDM,
7510659550,ZCDM,
7510659551,ZCDM,
7510659262,ZCDM,
7510659532,ZCDM,
7510659263,ZCDM,
7510659187,ZCDM,
7510659476,ZCDM,
7510659555,ZCDM,
7510659188,ZCDM,
7510659533,ZCDM,
7510659556,ZCDM,
7510659557,ZCDM,
7510659189,ZCDM,
7510659542,ZCDM,
7510659534,ZCDM,
7510659560,ZCDM,
7510659272,ZCDM,
7510659398,ZCDM,
7510659428,ZCDM,
7510659546,ZCDM,
7510659501,ZCDM,
7510659502,ZCDM,
7510659558,ZCDM,
7510659547,ZCDM,
7510659503,ZCDM,
7510659504,ZCDM,
7510659526,ZCDM,
7510659401,ZCDM,
7510659372,ZCDM,
7510659402,ZCDM,
7510659141,ZCDM,
7510659403,ZCDM,
7510659201,ZCDM,
7510659373,ZCDM,
7510659565,ZCDM,
7510659517,ZCDM,
7510659374,ZCDM,
7510659518,ZCDM,
7510659429,ZCDM,
7510659519,ZCDM,
7510659570,ZCDM,
7510659575,ZCDM,
7510659571,ZCDM,
7510659142,ZCDM,
7510659231,ZCDM,
7510659494,ZCDM,
7510659404,ZCDM,
7510659232,ZCDM,
7510659580,ZCDM,
7510659585,ZCDM,
7510659581,ZCDM,
7510659513,ZCDM,
7510659514,ZCDM,
7510659233,ZCDM,
7510659566,ZCDM,
7510659572,ZCDM,
7510659590,ZCDM,
7510659436,ZCDM,
7510659303,ZCDM,
7510659181,ZCDM,
7510659573,ZCDM,
7510659567,ZCDM,
7510659437,ZCDM,
7510659595,ZCDM,
7510659527,ZCDM,
7510659182,ZCDM,
7510659600,ZCDM,
7510659528,ZCDM,
7510659202,ZCDM,
7510659203,ZCDM,
7510659266,ZCDM,
7510659282,ZCDM,
7510659283,ZCDM,
7510659267,ZCDM,
7510659304,ZCDM,
7510659268,ZCDM,
7510659605,ZCDM,
7510659157,ZCDM,
7510659293,ZCDM,
7510659382,ZCDM,
7510659529,ZCDM,
7510659610,ZCDM,
7510659183,ZCDM,
7510659184,ZCDM,
7510659615,ZCDM,
7510659383,ZCDM,
7510659151,ZCDM,
7510659616,ZCDM,
7510659152,ZCDM,
7510659284,ZCDM,
7510659620,ZCDM,
7510659294,ZCDM,
7510659384,ZCDM,
7510659158,ZCDM,
7510659625,ZCDM,
7510659630,ZCDM,
7510659635,ZCDM,
7510659640,ZCDM,
7510659348,ZCDM,
7510659336,ZCDM,
7510659645,ZCDM,
7510659650,ZCDM,
7510659349,ZCDM,
7510659159,ZCDM,
7510659655,ZCDM,
7510659651,ZCDM,
7510659660,ZCDM,
7510659646,ZCDM,
7510659652,ZCDM,
7510659343,ZCDM,
7510659636,ZCDM,
7510659653,ZCDM,
7510659665,ZCDM,
7510659666,ZCDM,
7510659637,ZCDM,
7510659670,ZCDM,
7510659661,ZCDM,
7510659662,ZCDM,
7510659663,ZCDM,
7510659656,ZCDM,
7510659329,ZCDM,
7510659675,ZCDM,
7510659451,ZCDM,
7510659676,ZCDM,
7510659680,ZCDM,
7510659606,ZCDM,
7510659685,ZCDM,
7510659671,ZCDM,
7510659681,ZCDM,
7510659672,ZCDM,
7510659601,ZCDM,
7510659602,ZCDM,
7510659686,ZCDM,
7510659543,ZCDM,
7510659690,ZCDM,
7510659438,ZCDM,
7510659695,ZCDM,
7510659687,ZCDM,
7510659688,ZCDM,
7510659452,ZCDM,
7510659269,ZCDM,
7510659439,ZCDM,
7510659453,ZCDM,
7510659544,ZCDM,
7510659700,ZCDM,
7510659705,ZCDM,
7510659706,ZCDM,
7510659264,ZCDM,
7510659710,ZCDM,
7510659701,ZCDM,
7510659454,ZCDM,
7510659477,ZCDM,
7510659715,ZCDM,
7510659720,ZCDM,
7510659711,ZCDM,
7510659712,ZCDM,
7510659657,ZCDM,
7510659658,ZCDM,
7510659166,ZCDM,
7510659591,ZCDM,
7510659707,ZCDM,
7510659592,ZCDM,
7510659725,ZCDM,
7510659726,ZCDM,
7510659730,ZCDM,
7510659659,ZCDM,
7510659708,ZCDM,
7510659735,ZCDM,
7510659167,ZCDM,
7510659234,ZCDM,
7510659586,ZCDM,
7510659740,ZCDM,
7510659538,ZCDM,
7510659168,ZCDM,
7510659251,ZCDM,
7510659745,ZCDM,
7510659539,ZCDM,
7510659741,ZCDM,
7510659731,ZCDM,
7510659742,ZCDM,
7510659252,ZCDM,
7510659732,ZCDM,
7510659412,ZCDM,
7510659750,ZCDM,
7510659751,ZCDM,
7510659746,ZCDM,
7510659521,ZCDM,
7510659413,ZCDM,
7510659522,ZCDM,
7510659727,ZCDM,
7510659747,ZCDM,
7510659733,ZCDM,
7510659755,ZCDM,
7510659748,ZCDM,
7510659478,ZCDM,
7510659479,ZCDM,
7510659574,ZCDM,
7510659760,ZCDM,
7510659734,ZCDM,
7510659728,ZCDM,
7510659286,ZCDM,
7510659729,ZCDM,
7510659761,ZCDM,
7510659765,ZCDM,
7510659287,ZCDM,
7510659770,ZCDM,
7510659775,ZCDM,
7510659288,ZCDM,
7510659289,ZCDM,
7510659780,ZCDM,
7510659434,ZCDM,
7510659785,ZCDM,
7510659163,ZCDM,
7510659667,ZCDM,
7510659702,ZCDM,
7510659790,ZCDM,
7510659791,ZCDM,
7510659781,ZCDM,
7510659668,ZCDM,
7510659523,ZCDM,
7510659669,ZCDM,
7510659696,ZCDM,
7510659795,ZCDM,
7510659756,ZCDM,
7510659596,ZCDM,
7510659597,ZCDM,
7510659800,ZCDM,
7510659805,ZCDM,
7510659810,ZCDM,
7510659703,ZCDM,
7510659811,ZCDM,
7510659568,ZCDM,
7510659569,ZCDM,
7510659598,ZCDM,
7510659815,ZCDM,
7510659820,ZCDM,
7510659599,ZCDM,
7510659825,ZCDM,
7510659801,ZCDM,
7510659802,ZCDM,
7510659704,ZCDM,
7510659830,ZCDM,
7510659524,ZCDM,
7510659835,ZCDM,
7510659831,ZCDM,
7510659836,ZCDM,
7510659840,ZCDM,
7510659603,ZCDM,
7510659837,ZCDM,
7510659337,ZCDM,
7510659821,ZCDM,
7510659822,ZCDM,
7510659611,ZCDM,
7510659338,ZCDM,
7510659826,ZCDM,
7510659339,ZCDM,
